keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
construction contract dispute lawyer near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,3,Homepage • Kate Warner Construction Lawyers,https://kwcl.law/,"With over 38 years of experience handling all types of construction claims and disputes, Kate Warner Construction Lawyers delivers for their clients.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kwcl.law,13,22,3,247,40,367,,
contractor dispute attorney near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,2,Homepage • Kate Warner Construction Lawyers,https://kwcl.law/,"With over 38 years of experience handling all types of construction claims and disputes, Kate Warner Construction Lawyers delivers for their clients.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kwcl.law,13,22,3,247,40,367,,
contractor dispute attorney near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,3,The Bay Area Construction Lawyer | Employment Law Attorney,https://www.sanfranciscolitigators.com/,"The Law Offices of Jaret & Jaret in San Rafael, California, handles construction law, employment, real estate and other legal matters. Call 415-578-3482.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,sanfranciscolitigators.com,15,25,2,1012,75,12706,,
residential construction attorney near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,2,Homepage • Kate Warner Construction Lawyers,https://kwcl.law/,"With over 38 years of experience handling all types of construction claims and disputes, Kate Warner Construction Lawyers delivers for their clients.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kwcl.law,13,22,3,247,40,367,,
best construction defect lawyer near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,3,"Construction Defect Litigation | San Rafael, CA",https://www.williamsgumbiner.com/practice-areas/construction-defect-litigation/,"Attorney Scott Williams has specialized in handling construction defect suits, both on the plaintiff and defense sides, since the 1980s.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,williamsgumbiner.com,21,20,2,1612,93,9103,,
construction accident lawyers near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,1,California Construction Accident Lawyers - Kuvara Law Firm,https://kuvaralawfirm.com/construction-accidents/,"Did you suffer injuries in a construction accident in San Rafael, CA? Contact Kuvara Law Firm for a free consultation. No upfront fees. 1-800-4-INJURY.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kuvaralawfirm.com,28,37,1,9394,522,56496,,
construction accident lawyers near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,2,San Rafael Construction Accident Lawyer | Marin ... - Brod Law Firm,https://www.brodfirm.com/san-rafael-construction-accident-lawyer.html,Free Case Evaluation - Call (800) 427-7020 - Brod Law Firm helps victims and their families receive compensation for their injuries in Work Injury and ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,brodfirm.com,22,31,5,56738,213,85961,,
construction law attorney near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,1,Homepage • Kate Warner Construction Lawyers,https://kwcl.law/,"With over 38 years of experience handling all types of construction claims and disputes, Kate Warner Construction Lawyers delivers for their clients.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kwcl.law,13,22,3,247,40,367,,
construction law attorney near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,2,The Bay Area Construction Lawyer | Employment Law Attorney,https://www.sanfranciscolitigators.com/,"The Law Offices of Jaret & Jaret in San Rafael, California, handles construction law, employment, real estate and other legal matters. Call 415-578-3482.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,sanfranciscolitigators.com,15,25,2,1012,75,12706,,
home renovation dispute attorney near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,1,Homepage • Kate Warner Construction Lawyers,https://kwcl.law/,"With over 38 years of experience handling all types of construction claims and disputes, Kate Warner Construction Lawyers delivers for their clients.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kwcl.law,13,22,3,247,40,367,,
