keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
discrimination lawyers near me,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,2,El Segundo Discrimination Attorneys Serving Southern California,https://www.appletonlg.com/practice-areas/discrimination/,"At Appleton Law Group, our attorneys have over two decades of experience handling workplace discrimination matters and a wealth of knowledge of California's ...",,,,,,,,,appletonlg.com,13,26,4,149,67,462,,
discrimination lawyers near me,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,3,Calderone Law Firm: El Segundo Employment Lawyer | Manhattan ...,https://www.calemploymentattorney.com/,"We represent people throughout Los Angeles County in employment lawsuits arising out of discrimination, sexual harassment, wage and hour violations, wrongful ...",,,,,,,,,calemploymentattorney.com,18,27,1,2402,99,5904,,
employee rights lawyer,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,1,"El Segundo Employment Law Firm | Matern Law Group, PC",https://www.maternlawgroup.com/el-segundo/,"Matern Law Group, PC is a trusted El Segundo employment law firm specializing in wrongful termination, workplace harassment, and employee rights.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,maternlawgroup.com,27,32,1,866,354,1113,,
employee rights lawyer,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,2,El Segundo Employment Attorney | Business Litigation Lawyer Los ...,https://www.baattorneys.com/,"Do you need an experienced employment law or civil litigation attorney? Call 424-352-0716 to contact Barrera & Associates in El Segundo, California.",,,,,,,,,baattorneys.com,24,30,2,2221,175,10481,,
employee rights lawyer,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,3,El Segundo Employment & Labor Law Attorneys - Appleton Law Group,https://www.appletonlg.com/practice-areas/employment-labor-law-overview/,"Our attorneys have in-depth knowledge of employment law issues, including claims for wrongful termination, retaliation, discrimination and harassment.",,,,,,,,,appletonlg.com,13,26,4,149,67,462,,
employment attorney,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,1,"El Segundo Employment Law Firm | Matern Law Group, PC",https://www.maternlawgroup.com/el-segundo/,"Matern Law Group, PC is a trusted El Segundo employment law firm specializing in wrongful termination, workplace harassment, and employee rights.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,maternlawgroup.com,27,32,1,866,354,1113,,
employment attorney,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,2,El Segundo Employment Attorney | Business Litigation Lawyer Los ...,https://www.baattorneys.com/,"Do you need an experienced employment law or civil litigation attorney? Call 424-352-0716 to contact Barrera & Associates in El Segundo, California.",,,,,,,,,baattorneys.com,24,30,2,2221,175,10481,,
employment attorney,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,3,Vincent Calderone | El Segundo Employment Lawyers Calderone ...,https://www.calemploymentattorney.com/vincent-calderone.html,"Mr. Vincent Calderone, the founder of Calderone Law Firm, is an experienced trial attorney with over twenty years of protecting the rights of employees.",,,,,,,,,calemploymentattorney.com,18,27,1,2402,99,5904,,
employer attorney near me,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,2,El Segundo Employment & Labor Law Attorneys - Appleton Law Group,https://www.appletonlg.com/practice-areas/employment-labor-law-overview/,"Our attorneys have in-depth knowledge of employment law issues, including claims for wrongful termination, retaliation, discrimination and harassment.",,,,,,,,,appletonlg.com,13,26,4,149,67,462,,
employer attorney near me,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,3,El Segundo Employment Attorney | Business Litigation Lawyer Los ...,https://www.baattorneys.com/,"Do you need an experienced employment law or civil litigation attorney? Call 424-352-0716 to contact Barrera & Associates in El Segundo, California.",,,,,,,,,baattorneys.com,24,30,2,2221,175,10481,,
employer lawyer near me,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,2,"El Segundo Employment Law Firm | Matern Law Group, PC",https://www.maternlawgroup.com/el-segundo/,"Matern Law Group, PC is a trusted El Segundo employment law firm specializing in wrongful termination, workplace harassment, and employee rights.",,,,,,,,,maternlawgroup.com,27,32,1,866,354,1113,,
employer lawyer near me,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,3,Calderone Law Firm: El Segundo Employment Lawyer | Manhattan ...,https://www.calemploymentattorney.com/,Free Consultation - Call (424) 348-8290 - Calderone Law Firm is dedicated to serving our clients with a range of legal services including Employment and ...,,,,,,,,,calemploymentattorney.com,18,27,1,2402,99,5904,,
employment discrimination attorney,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,1,"El Segundo Employment Law Firm | Matern Law Group, PC",https://www.maternlawgroup.com/el-segundo/,"We believe everyone deserves to work in an environment free from discrimination, harassment, retaliation, and wrongful termination.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,maternlawgroup.com,27,32,1,866,354,1113,,
employment discrimination attorney,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,2,El Segundo Employment Attorney | Business Litigation Lawyer Los ...,https://www.baattorneys.com/,Workplace discrimination; Wrongful termination; Sexual ... To schedule a consultation with an El Segundo employment law and civil litigation attorney ...,,,,,,,,,baattorneys.com,24,30,2,2221,175,10481,,
employment discrimination attorney,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,3,Calderone Law Firm: El Segundo Employment Lawyer | Manhattan ...,https://www.calemploymentattorney.com/,"We represent people throughout Los Angeles County in employment lawsuits arising out of discrimination, sexual harassment, wage and hour violations, wrongful ...",,,,,,,,,calemploymentattorney.com,18,27,1,2402,99,5904,,
employment attorney el segundo,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,1,"El Segundo Employment Law Firm | Matern Law Group, PC",https://www.maternlawgroup.com/el-segundo/,"Matern Law Group, PC is a trusted El Segundo employment law firm specializing in wrongful termination, workplace harassment, and employee rights.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,maternlawgroup.com,27,32,1,866,354,1113,,
employment attorney el segundo,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,2,El Segundo Employment Attorney | Business Litigation Lawyer Los ...,https://www.baattorneys.com/,"Do you need an experienced employment law or civil litigation attorney? Call 424-352-0716 to contact Barrera & Associates in El Segundo, California.",,,,,,,,,baattorneys.com,24,30,2,2221,175,10481,,
employment attorney el segundo,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,3,Calderone Law Firm: El Segundo Employment Lawyer | Manhattan ...,https://www.calemploymentattorney.com/,Free Consultation - Call (424) 348-8290 - Calderone Law Firm is dedicated to serving our clients with a range of legal services including Employment and ...,,,,,,,,,calemploymentattorney.com,18,27,1,2402,99,5904,,
employment attorney near me,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,1,Calderone Law Firm: El Segundo Employment Lawyer | Manhattan ...,https://www.calemploymentattorney.com/,Consult a Skillful Employment Litigator  Call the Calderone Law Firm at (424) 348-8290 or contact us through our online form to set up an appointment with an employment attorney in the El Segundo area.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,calemploymentattorney.com,18,27,1,2402,99,5904,,
employment attorney near me,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,2,El Segundo Labor & Employment Attorneys | Appleton Law Group ...,https://www.appletonlg.com/,"EXPERIENCE. COMPASSION. KNOWLEDGE. Over 20 years of legal practice focused exclusively on employment law, employment litigation and business litigation.",,,,,,,,,appletonlg.com,13,26,4,149,67,462,,
employment attorney near me,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,3,El Segundo Employment Attorney | Business Litigation Lawyer Los ...,https://www.baattorneys.com/,"Do you need an experienced employment law or civil litigation attorney? Call 424-352-0716 to contact Barrera & Associates in El Segundo, California.",,,,,,,,,baattorneys.com,24,30,2,2221,175,10481,,
employment discrimination lawyer,El Segundo,LaborAndEmployement-HighVolume -- El Segundo.xlsx,1,"El Segundo Employment Law Firm | Matern Law Group, PC",https://www.maternlawgroup.com/el-segundo/,"Matern Law Group, PC is a trusted El Segundo employment law firm specializing in wrongful termination, workplace harassment, and employee rights.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,maternlawgroup.com,27,32,1,866,354,1113,,
