keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
best immigration lawyer near me,Greenwood Village,Immigration-LongTail -- Greenwood Village.xlsx,1,The Best Immigration Lawyers In San Antonio - MySA,https://www.mysanantonio.com/best/map/best-immigration-lawyers-san-antonio/,Missing: Greenwood Village,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,mysanantonio.com,82,60,1,95244197,70711,200495751,,
best immigration lawyer near me,Greenwood Village,Immigration-LongTail -- Greenwood Village.xlsx,2,"San Antonio Immigration Lawyers, Deportation Attorneys",https://jjosephcohen.com/,Missing: Greenwood Village,,,,,,,,,jjosephcohen.com,10,43,1,8513,1008,11654,,
best immigration lawyer near me,Greenwood Village,Immigration-LongTail -- Greenwood Village.xlsx,3,Family Immigration Lawyer In San Antonio - Lozano Law Firm,https://www.abogadolozano.com/practice-areas/immigration/family-immigration/,"A family immigration lawyer in San Antonio can assist with family-based immigration concerns, including Green Cards, waivers & Visas.",,,,,,,,,abogadolozano.com,57,36,1,6683,833,177173,,
immigration attorney greenwood village,Greenwood Village,Immigration-LongTail -- Greenwood Village.xlsx,1,"Kolko & Casey, P.C.: Home",https://www.kolkocasey.com/,"At Kolko and Casey, we understand that immigration law affects the most fundamental aspects of business and people's lives.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kolkocasey.com,28,30,4,3445,434,5105,,
immigration attorney greenwood village,Greenwood Village,Immigration-LongTail -- Greenwood Village.xlsx,2,"Barringer Law Firm | Immigration, Family Law & Criminal Defense ...",https://barringerlawfirm.com/,"Get the legal representation you deserve from the immigration lawyers at Barringer Law Firm ... 5660 Greenwood Plaza Blvd, Suite 445 Greenwood Village, CO 80111.",,,,,,,,,barringerlawfirm.com,15,26,1,189,92,2846,,
immigration attorney near me,Greenwood Village,Immigration-LongTail -- Greenwood Village.xlsx,1,"Kolko & Casey, P.C.: Home",https://www.kolkocasey.com/,"Kolko & Casey, P.C. 5251 South Quebec Street Suite 200. Greenwood Village, Colorado 80111. © 2025 Kolko & Casey, P.C.. Disclaimer | Sitemap Attorney ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kolkocasey.com,28,30,4,3445,434,5105,,
immigration attorney near me,Greenwood Village,Immigration-LongTail -- Greenwood Village.xlsx,3,"Barringer Law Firm | Immigration, Family Law & Criminal Defense ...",https://barringerlawfirm.com/,"Get the legal representation you deserve from the immigration lawyers at Barringer Law Firm. We specialize in visa law, civil litigation, and family law.",,,,,,,,,barringerlawfirm.com,15,26,1,189,92,2846,,
immigration attorney near me free consultation,Greenwood Village,Immigration-LongTail -- Greenwood Village.xlsx,3,Find a lawyer for affordable legal aid | USAGov,https://www.usa.gov/legal-aid,Learn about programs and organizations that give free legal advice and may help you find a free or low-cost attorney.,,,,,,,,,usa.gov,91,69,1,137091610,237447,138539163,,
best immigration lawyer near me consultation,Greenwood Village,Immigration-LongTail -- Greenwood Village.xlsx,3,"Kolko & Casey, P.C.: Home",https://www.kolkocasey.com/,Competence Integrity Experience. A Full Service Immigration Law Firm. Schedule a consultation. Welcome. Our Mission at. Kolko & ...,,,,,,,,,kolkocasey.com,28,30,4,3445,434,5105,,
best immigration lawyer greenwood village,Greenwood Village,Immigration-LongTail -- Greenwood Village.xlsx,2,"Kolko & Casey, P.C.: Home",https://www.kolkocasey.com/,"Kolko & Casey, P.C. is a full-service immigration and naturalization law firm providing professional legal services to individuals and businesses throughout ...",,,,,,,,,kolkocasey.com,28,30,4,3445,434,5105,,
